monument,distance_km,trip_days,travelers,hotel_type,transport_mode,season,total_budget
Sultanghari Tomb,910,8,5,Budget,Car,Winter,36074
Ancient Remains on both Udaigiri & Khandagiri Hills,1532,8,5,Luxury,Train,Summer,66754
Aga  Khan Palace Building,1565,6,2,Budget,Bus,Winter,15960
"Cave, Temple and Inscriptions, Junaar, Lenyadri",524,3,4,Luxury,Bus,Monsoon,19541
Durga temple complex Aihole,696,5,1,Luxury,Train,Summer,31641
Kalinjar Fort,291,9,2,Budget,Train,Monsoon,13970
Mehtab Bagh,84,1,4,Standard,Train,Winter,5810
"Gol Gumbaz, Vijayapura",1179,4,6,Budget,Car,Winter,25955
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",211,4,6,Luxury,Car,Winter,41265
"Group of monument, Royal Palace Mandu",387,5,2,Budget,Bus,Summer,10161
Rani Lakshmi Bai Mahal,114,9,7,Budget,Bus,Monsoon,29797
Tomb of Rabia Durani (Bibi ka Maqbara),441,3,3,Budget,Car,Summer,10353
Roopmati's Pavilion,2232,9,4,Standard,Bus,Monsoon,32853
Fortress and Temple Chitrudurga Fort,1801,5,3,Standard,Car,Monsoon,24355
Sheikh Chilli's Tomb,1535,3,1,Budget,Train,Monsoon,7420
Nagarjuna Kunda,920,9,7,Luxury,Train,Winter,95129
Cooch Bihar Palace,913,7,1,Budget,Train,Summer,13012
Chandragiri Monument,590,4,5,Luxury,Car,Monsoon,28765
"Gingee Fort , Gingee",1647,9,5,Standard,Train,Winter,53967
Ancient Palace Leh,1579,7,4,Budget,Car,Winter,34794
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1450,9,4,Budget,Bus,Monsoon,22702
"Palace Complex at Ramnagar, Distt. Udhampur",367,5,1,Luxury,Train,Monsoon,26410
Upper Fort Aguada,1681,8,1,Budget,Train,Summer,15878
"Jaina & Vaishnava Cave, Badami",1341,7,2,Luxury,Bus,Summer,48588
Tomb of Rabia Durani (Bibi ka Maqbara),748,1,2,Standard,Train,Monsoon,5568
